,dish,Estimated_GI
4491,Braised shredded pork and cabbage,0.0
4492,Chicken with lotus root and celery,50.0
4493,Diced duck with lettuce and carrot,40.0
4494,Shredded pork with green pepper and water bamboo,0.0
4495,Vegetable,50.0
4496,Coarse grain,40.0
4497,Egg,30.0
4498,Coarse grain steamed bread,40.0
4499,Boiled vegetable,50.0
4500,Roast pork rib with scallion,0.0
4501,Chinese cabbage,15.0
4502,Minced pork and white gourd,0.0
4503,Coarse grain,40.0
4504,Steamed chicken with scallion,50.0
4505,Shredded pork with cucumber and carrot,20.0
4506,Radish,50.0
4507,Coarse grain,40.0
4508,Egg,30.0
4509,Coarse grain steamed bread,40.0
4510,Boiled vegetable,50.0
4511,Steamed pork roll stuffed with cabbage,0.0
4512,Shredded pork with bitter gourd and carrot,20.0
4513,Lettuce,50.0
4514,Coarse grain,40.0
4515,Sliced duck with yam and tomato,50.0
4516,Minced pork with celery and carrot,20.0
4517,Chinese cabbage and carrot,27.5
4518,Coarse grain,40.0
4519,Egg,30.0
4520,Coarse grain steamed bread,40.0
4521,Boiled vegetable,50.0
4522,Stir fried fish fillet with cucumber and fungus,50.0
4523,Minced pork fried with pumpkin and scallion,0.0
4524,Vegetable,50.0
4525,Coarse grain,40.0
4526,Braised chicken with corn,50.0
4527,Shredded pork with cucumber,0.0
4528,Braised radish,50.0
4529,Coarse grain,40.0
4530,Egg,30.0
4531,Coarse grain steamed bread,40.0
4532,Boiled vegetable,50.0
4533,Stewed pork chops with carrot,20.0
4534,Steamed minced pork  with eggplant,15.0
4535,Spinach,50.0
4536,Coarse grain,40.0
4537,Sliced pork with carrot and cowpea,20.0
4538,Braised shredded pork and cabbage,0.0
4539,Green pepper with green bean sprouts,50.0
4540,Coarse grain,40.0
4541,Egg,30.0
4542,Coarse grain steamed bread,40.0
4543,Boiled vegetable,50.0
4544,Braised herring cubes,50.0
4545,Shredded pork with  water bamboo and carrot,20.0
4546,Leaf lettuce,50.0
4547,Coarse grain,40.0
4548,Fried dough twist,50.0
4549,Milk,50.0
4550,Glucose,50.0
4551,Egg,30.0
4552,Coarse grain steamed bread,40.0
4553,Boiled vegetable,50.0
4554,Steamed pork chops with carrot,20.0
4555,Water spinach,50.0
4556,Steamed minced pork with eggplant,15.0
4557,Coarse grain,40.0
4558,Scallion grilled chops,50.0
4559,Water spinach,50.0
4560,Braised shredded pork and cabbage,0.0
4561,Coarse grain,40.0
4562,Egg,30.0
4563,Coarse grain steamed bread,40.0
4564,Boiled vegetable,50.0
4565,Shepherd's purse meatball,50.0
4566,Leaf lettuce,50.0
4567,Shredded chicken with green pepper and yam,50.0
4568,Coarse grain,40.0
4569,Shredded pork in Beijing sauce,0.0
4570,Wax gourd with scallion oil,50.0
4571,Shredded pork with zucchini,0.0
4572,Coarse grain,40.0
4573,Fried dough twist,50.0
4574,Egg,30.0
4575,Coarse grain steamed bread,40.0
4576,Boiled vegetable,50.0
4577,Steamed perch pieces,50.0
4578,Chinese cabbage,15.0
4579,Shredded pork with water bamboo and carrot,20.0
4580,Coarse grain,40.0
4581,Sliced boiled duck,50.0
4582,Green pepper with green bean sprouts,50.0
4583,Shredded with sweet potato leaves,50.0
4584,Coarse grain,40.0
4585,Egg,30.0
4586,Coarse grain steamed bread,40.0
4587,Boiled vegetable,50.0
4588,Lettuce with chicken,50.0
4589,Vegetable,50.0
4590,Shredded pork with cauliflower and fungus,8.75
4591,Coarse grain,40.0
4592,Shredded beef with green pepper,50.0
4593,Cabbage,50.0
4594,Shredded pork with lettuce,0.0
4595,Coarse grain,40.0
4596,Egg,30.0
4597,Coarse grain steamed bread,40.0
4598,Boiled vegetable,50.0
4599,Braised fish belly,50.0
4600,Sweet potato leaves,50.0
4601,Shredded pork with tomato and cabbage,0.0
4602,Coarse grain,40.0
4603,Diced pork meatballs with lotus root,0.0
4604,Shredded pork with white gourd and carrot,20.0
4605,Hangzhou cabbage,50.0
4606,Coarse grain,40.0
4607,Egg,30.0
4608,Coarse grain steamed bread,40.0
4609,Boiled vegetable,50.0
4610,Noodles in soup,50.0
4611,Pork,0.0
4612,Ginseng fruit,50.0
4613,Vegetable and rice,50.0
4614,"
Shrimp",50.0
4615,Mushroom and lettuce soup,12.5
4616, Milk,50.0
4617,Sliced bread,50.0
4618,Poached egg,30.0
4619,Shrimp,50.0
4620,Rice,50.0
4621,Braised pork with bamboo shoot,0.0
4622,Grapefruit,50.0
4623, Noodles in vegetable soup,50.0
4624,Milk,50.0
4625,Sliced bread,50.0
4626,Egg,30.0
4627,"Bacon, vegetable and rice",50.0
4628,Tomato and egg soup,30.0
4629, Apple,50.0
4630,Wonton,72.5
4631,Steamed bean curd roll,50.0
4632,Milk,50.0
4633, Sliced bread,50.0
4634,Egg,30.0
4635,Hairy crab,50.0
4636,Cauliflower,17.5
4637,Apple,50.0
4638, Fish fillet,50.0
4639,Steamed bean curd roll,50.0
4640,Steamed rice cake,50.0
4641, Steamed rice cake,50.0
4642,Rice,50.0
4643,Cauliflower,17.5
4644,Roast duck,50.0
4645,Pitaya,50.0
4646,Instant noodles,50.0
4647,Hairy crab,50.0
4648,Milk,50.0
4649, Boiled egg,30.0
4650,Sliced bread,50.0
4651,Shepherd's purse and pork stuffed sweet dumpling,0.0
4652,Hairy crab,50.0
4653, Steamed beef bun,50.0
4654,Grapefruit,50.0
4655, Cabbage,50.0
4656,Steamed small meat dumpling in basket,50.0
4657,Milk,50.0
4658, Beef fried bun,50.0
4659,Rice,50.0
4660,Yellow croaker,50.0
4661,Vegetable,50.0
4662,Grapefruit,50.0
4663, Rice,50.0
4664,Yellow croaker,50.0
4665,Vegetable,50.0
4666, Boiled egg,30.0
4667,Sesame paste cereal,50.0
4668,Cauliflower,17.5
4669,Rice,50.0
4670,Yellow croaker,50.0
4671,Ginseng fruit,50.0
4672, Rice,50.0
4673,Cauliflower,17.5
4674,Spiced beef,50.0
4675,Pig claw and soybean soup,50.0
4676,Milk,50.0
4677, Sliced bread,50.0
4678,Poached egg,30.0
4679,Black rice,50.0
4680,Pig claw soybean soup,50.0
4681,Mushroom and cabbage,12.5
4682,Fruit,50.0
4683, Cabbage noodles,50.0
4684,Mushroom,12.5
4685,Milk,50.0
4686,Shepherd's purse and pork stuffed sweet dumpling,0.0
4687,Black rice,50.0
4688,Pig claw and soybean soup,50.0
4689,Mushroom,12.5
4690,Pitaya,50.0
4691, Meatball and vermicelli soup,50.0
4692,Steamed beef bun,50.0
4693,Shrimp,50.0
4694,Milk,50.0
4695, Coarse grain bread,40.0
4696,Soymilk,50.0
4697,Taro soup,50.0
4698, Pitaya,50.0
4699, Rice,50.0
4700,Dried bean,50.0
4701,Chicken,50.0
4702,Soybean soup,50.0
4703,Vegetable,50.0
4704,Milk,50.0
4705, Sliced bread,50.0
4706,Boiled egg,30.0
4707,Rice,50.0
4708,Cabbage,50.0
4709,Chicken leg,50.0
4710, Vermicelli soup,50.0
4711,Shrimp,50.0
4712,Braised tofu,50.0
4713,Milk,50.0
4714, Sliced bread,50.0
4715,Boiled egg,30.0
4716,Rice,50.0
4717,Vermicelli and meatball soup,50.0
4718,Chicken leg,50.0
4719, White fungus soup,50.0
4720,Poached egg,30.0
4721,Milk,50.0
4722, Sliced bread,50.0
4723,Boiled egg,30.0
4724,Vegetable noodle soup,50.0
4725,Chicken leg,50.0
4726, Rice,50.0
4727,Mushroom,12.5
4728,Vegetable,50.0
4729,Egg soup,30.0
4730,Shrimp,50.0
4731,Milk,50.0
4732,Vegetable noodles,50.0
4733,Steamed bread,50.0
4734,Cabbage,50.0
4735,Black rice porridge,50.0
4736,Vegetable noodles,50.0
4737,Radish noodles,50.0
4738,Steamed bread,50.0
4739,Millet and black rice porridge,50.0
4740,Eggplant,30.0
4741,Vegetable and tofu soup,50.0
4742,Steamed bread,50.0
4743,Vegetable and tofu soup,50.0
4744,Steamed bread,50.0
4745,Radish noodles,50.0
4746,Steamed bun,50.0
4747,Noodles soup,50.0
4748,Onion,50.0
4749, Noodles,50.0
4750,Tofu cabbage soup,50.0
4751,Steamed bread,50.0
4752,Vegetable and tofu stuffed dumpling,50.0
4753,Vegetable and tofu stuffed dumpling,50.0
4754,Vegetable noodles,50.0
4755,Vegetable and tofu stuffed dumpling,50.0
4756,Steamed bread,50.0
4757,Vegetable and tofu stuffed dumpling,50.0
4758,Vegetable noodles,50.0
4759,Steamed bread,50.0
4760,Steamed bun,50.0
4761,Lettuce,50.0
4762,Vegetable noodles,50.0
4763,Bread,50.0
4764,Steamed bun,50.0
4765,Chicken meatballs,50.0
4766,Vegetable noodles,50.0
4767,Steamed vegetable bun,50.0
4768,Vegetable noodles,50.0
4769,Cabbage and radish and bean sprouts and chicken meatball,50.0
4770,Steamed vegetable bun,50.0
4771,Tofu pudding,50.0
4772,Cabbage noodles,50.0
4773,Noodles,50.0
4774,Steamed bun,50.0
4775,Bean sprout,50.0
4776,Noodles,50.0
4777,Rice,50.0
4778,Zucchini,50.0
4779,Lettuce,50.0
4780,Chicken,50.0
4781,Steamed bun,50.0
4782,Noodles,50.0
4783,Fish,50.0
4784,Steamed bun,50.0
4785,Radish,50.0
4786,Rice,50.0
4787,Goose egg white,30.0
4788,Fungus and yam,50.0
4789,Fish,50.0
4790,Steamed vegetable and mushroom stuffed bun,12.5
4791,Steamed vegetable bun,50.0
4792,Vegetable noodles,50.0
4793,Cauliflower,17.5
4794,Beef,50.0
4795,Rice,50.0
4796,Vegetable noodles,50.0
4797,Fish,50.0
4798,Cauliflower,17.5
4799,Meal replacement powder,50.0
4800,Water,50.0
4801,Sugar free cereal,50.0
4802,Chia seed,50.0
4803,Milk,50.0
4804,Coffee,50.0
4805,Milk,50.0
4806,Cowpea,50.0
4807,Beef,50.0
4808,Chicken leg,50.0
4809,Roast meat,50.0
4810,Redoxon,50.0
4811,Sugar free cereal,50.0
4812,Chia seed,50.0
4813,Milk,50.0
4814,Coffee,50.0
4815,Milk,50.0
4816,Bamboo shoot,50.0
4817,Bottle gourd,50.0
4818,Tomato,50.0
4819,Duck meat,50.0
4820,Meal replacement powder,50.0
4821,Water,50.0
4822,Cereal,50.0
4823,Milk,50.0
4824,Sugar free cereal,50.0
4825,Chia seed,50.0
4826,Milk,50.0
4827,Coffee,50.0
4828,Milk,50.0
4829,Broccoli,50.0
4830,Eggplant,30.0
4831,Diced chicken breast,50.0
4832,Roast meat,50.0
4833,Beef tongue,50.0
4834,Pickles,50.0
4835,King oyster mushroom,12.5
4836,Lettuce,50.0
4837,Sugar free cereal,50.0
4838,Chia seed,50.0
4839,Milk,50.0
4840,Beef noodles,50.0
4841,Eggs,30.0
4842,Coffee,50.0
4843,Crayfish,50.0
4844,Bean curd stick,50.0
4845,Quail eggs,30.0
4846,Lettuce,50.0
4847,Chiba tofu,50.0
4848,Sugar free cereal,50.0
4849,Chia Seed,50.0
4850,Milk,50.0
4851,Coffee,50.0
4852,Milk,50.0
4853,Salmon,50.0
4854,Vegetables,50.0
4855,Coffee,50.0
4856,Cereal milk,50.0
4857,Vegetable,50.0
4858,Sugar free cereal,50.0
4859,Chia seed,50.0
4860,Milk,50.0
4861,Coffee,50.0
4862,Broccoli,50.0
4863,Radish,50.0
4864,Braised pork in brown sauce,0.0
4865,Cereal,50.0
4866,Milk,50.0
4867,Natto,50.0
4868,Sugar free cereal,50.0
4869,Chia seed,50.0
4870,Milk,50.0
4871,Kiwi fruit,50.0
4872,Coffee,50.0
4873,Steamed pork patty with egg,15.0
4874,Chinese cabbage,15.0
4875,Steamed gluten,50.0
4876,Sugar free cereal,50.0
4877,Chia Seed,50.0
4878,Milk,50.0
4879,Kiwi fruit,50.0
4880,Bamboo shoot,50.0
4881,Shrimp and tofu,50.0
4882,Tomato,50.0
4883,Strawberry,50.0
4884,Roast meat,50.0
4885,Milk,50.0
4886,Sugar free cereal,50.0
4887,Chia seed,50.0
4888,Milk,50.0
4889,Kiwi fruit,50.0
4890,Coffee,50.0
4891,Milk,50.0
4892,Shrimp,50.0
4893,Shredded pork and dried bean curd,0.0
4894,Poached egg,30.0
4895,Peach,50.0
4896,Boiled egg,30.0
4897,Cereal milk,50.0
4898,Vegetable,50.0
4899,Roasted salmon,50.0
4900,Salmon,50.0
4901,Sweet shrimp,50.0
4902,Grapefruit,50.0
4903,Milk,50.0
4904,Steamed stuffed bun,50.0
4905,Duck legs,50.0
4906,Tofu and cabbage and egg,30.0
4907,Egg,30.0
4908,Kiwi fruit,50.0
4909,Broccoli,50.0
4910,Cereal,50.0
4911,Milk,50.0
4912,Egg,30.0
4913,Corn,50.0
4914,Fried chicken legs,50.0
4915,Squid,50.0
4916,Pork,0.0
4917,Sausage,50.0
4918,Crayfish,50.0
4919,Rice,50.0
4920,Soup,50.0
4921,Pork chop,0.0
4922,Amaranth,50.0
4923,Lettuce,50.0
4924,Tomato and egg soup,30.0
4925,"
Rice",50.0
4926,Pork chop,0.0
4927,Amaranth,50.0
4928,Lettuce,50.0
4929,Tomato and egg soup,30.0
4930,Rice,50.0
4931,Rice,50.0
4932,Pork floss,0.0
4933,Salted duck egg,30.0
4934,Rice,50.0
4935,Fried lettuce,50.0
4936,Pigeon soup,50.0
4937,Rice,50.0
4938,Porridge,50.0
4939,Stewed pork in brown sauce,0.0
4940,Bamboo shoots,50.0
4941,Fried lettuce,50.0
4942,Pigeon soup,50.0
4943,Rice in soup,50.0
4944,Braised pork with dried bamboo shoots,0.0
4945,Rice,50.0
4946,Pomfret,50.0
4947,Broad bean,50.0
4948,Fried pork with dried bamboo shoots,0.0
4949,Vegetable,50.0
4950,Rice,50.0
4951,Boiled egg,30.0
4952,Dried bamboo shoot,50.0
4953,Rice,50.0
4954,Tofu skin rolls with minced pork,0.0
4955,Shredded potato,50.0
4956,Vegetable,50.0
4957,Pomfret,50.0
4958,Egg soup,30.0
4959,Rice,50.0
4960,Pork chop,0.0
4961,Green pepper and tofu,50.0
4962,Broad bean,50.0
4963,Braised pork with dried bamboo shoot,0.0
4964,Rice,50.0
4965,Boiled egg,30.0
4966,Pork floss,0.0
4967,Rice,50.0
4968,River shrimp,50.0
4969,Broad bean,50.0
4970,Bamboo shoot and pork chop,0.0
4971,Cabbage in chicken soup,50.0
4972,Rice,50.0
4973,River shrimp,50.0
4974,Pork floss,0.0
4975,Braised pork with dried bamboo shoot,0.0
4976,Rice,50.0
4977,Boiled egg,30.0
4978,Pork floss,0.0
4979,Braised pork with dried bamboo shoot,0.0
4980,Amaranth,50.0
4981,Broad bean,50.0
4982,Pork chop,0.0
4983,Hairtail,50.0
4984,Vegetable,50.0
4985,Lily soup,50.0
4986,Rice cake,50.0
4987,Rice,50.0
4988,Vegetable,50.0
4989,Hairtail,50.0
4990,Steamed egg,30.0
4991,Braised bamboo shoot,50.0
4992,Dried bean curd,50.0
4993,Sliced potato and sword bean,50.0
4994,Roast duck,50.0
4995,Celery,50.0
4996,Rice,50.0
4997,White gourd and tomato soup,50.0
4998,Pan-fried dumplings,50.0
4999,Steamed pork dumplings,0.0
5000,Fried rice,50.0
5001,Tofu,50.0
5002,Meat,50.0
5003,Buckwheat steamed bread,50.0
5004,Hairtail,50.0
5005,Steamed vegetable bun,50.0
5006,Double cooked pork,0.0
5007,Rice,50.0
5008,Buckwheat bread,50.0
5009,Dried radish,50.0
5010,Boiled cuttlefish,50.0
5011,Cucumber,50.0
5012,Steamed vegetable bun,50.0
5013,Rice,50.0
5014,Chicken leg,50.0
5015,Vermicelli,50.0
5016,Fried diced pork with carrot and potato,20.0
5017,Cucumber,50.0
5018,Egg,30.0
5019,Steamed twisted roll,50.0
5020,Salted pancake,50.0
5021,Beef noodles,50.0
5022,Marinated egg,30.0
5023,Buckwheat bread,50.0
5024,Red sausage,50.0
5025,Mutton fried noodles,50.0
5026,Buckwheat bread,50.0
5027,Corn,50.0
5028,Chicken soup,50.0
5029,Corn,50.0
5030,Rice in soup,50.0
5031,Rice,50.0
5032,Soup,50.0
5033,Green vegetable and tofu skin knot and fungus,50.0
5034,Milk,50.0
5035,Cereal,50.0
5036,Egg,30.0
5037,Peach,50.0
5038,"Kelp, tofu skin knot, rice in salted soup",50.0
5039,Orange,50.0
5040,Tomato,50.0
5041,Rice,50.0
5042,Preserved egg,30.0
5043,"Egg soup, water spinach and broad bean",30.0
5044,Milk,50.0
5045,Cereal,50.0
5046,Kelp knot,50.0
5047,Pumpkin and  water spinach,50.0
5048,Rye flour cake,50.0
5049,Orange,50.0
5050,Rice in salted soup,50.0
5051,Vegetable,50.0
5052,Peach,50.0
5053,Hawthorn cake,50.0
5054,Pumpkin seed,50.0
5055,Rice,50.0
5056,Lettuce,50.0
5057,Bean,50.0
5058,Egg soup,30.0
5059,Rice,50.0
5060,Lettuce,50.0
5061,Long bean,50.0
5062,Egg soup,30.0
5063,Cereal,50.0
5064,Milk,50.0
5065,Egg,30.0
5066,Noodles,50.0
5067,Vegetable,50.0
5068,Yellow peach,50.0
5069,Rice,50.0
5070,Chicken soup,50.0
5071,Tofu,50.0
5072,Mushroom,12.5
5073,Garlic sprout,50.0
5074,Milk,50.0
5075,Cereal,50.0
5076,Rye flour cake,50.0
5077,Orange,50.0
5078,Dumpling,50.0
5079,Rice,50.0
5080,Fish steak,50.0
5081,Water spinach,50.0
5082,Shrimp,50.0
5083,Green bean,50.0
5084,Melon,50.0
5085,Milk,50.0
5086,Cereal,50.0
5087,Egg,30.0
5088,Rice in soup,50.0
5089,Vegetable,50.0
5090,Tomato,50.0
5091,Rice,50.0
5092,Shredded pork with garlic sauce,0.0
5093,Scrambled egg with towel gourd,30.0
5094,Milk,50.0
5095,Cereal,50.0
5096,Rye flour bread,50.0
5097,Chicken soup noodles,50.0
5098,Rice,50.0
5099,Shredded pork with garlic sauce,0.0
5100,Green pepper,50.0
5101,Ham sausage,50.0
5102,Egg soup,30.0
5103,Milk,50.0
5104,Cereal,50.0
5105,Egg,30.0
5106,Apple,50.0
5107,Orange,50.0
5108,Rice,50.0
5109,Cowpea,50.0
5110,Water spinach,50.0
5111,White gourd and pork bone soup,0.0
5112,Beef tendon,50.0
5113,Milk,50.0
5114,Cereal,50.0
5115,Rye flour bread,50.0
5116,Noodles,50.0
5117,Pumpkin seed,50.0
5118,Rice,50.0
5119,Beef with onion,50.0
5120,Fried egg with chives,30.0
5121,White gourd soup,50.0
5122,Milk,50.0
5123,Cereal,50.0
5124,Egg,30.0
5125,Rice in soup,50.0
5126,Mung bean and lily soup,50.0
5127,Rice,50.0
5128,Beef tendon,50.0
5129,Vegetable,50.0
5130,Milk,50.0
5131,Cereal,50.0
5132,Scallion pancake,50.0
5133,Rice in soup,50.0
5134,Tomatoes,50.0
5135,mung bean cake,50.0
5136,Rice in soup,50.0
5137,Tomato,50.0
5138,Mung bean cake,50.0
5139,Rice,50.0
5140,Vegetable,50.0
5141,Mung bean sprouts,50.0
5142,Pork bone soup,0.0
5143,Milk,50.0
5144,Cereal,50.0
5145,Egg,30.0
5146,Instant noodles,50.0
5147,Rice,50.0
5148,Scrambled egg with towel gourd,30.0
5149,Milk,50.0
5150,Cereal,50.0
5151,Rye flour cake,50.0
5152,Rice in salted soup,50.0
5153,Mung bean cake,50.0
5154,Mung bean and lily porridge,50.0
5155,Pigeon,50.0
5156,Fried gluten puff,50.0
5157,Tea tree mushroom,12.5
5158,Water bamboo,50.0
5159,Rice,50.0
5160,Beer,50.0
5161,Egg,30.0
5162,Buckwheat bread,50.0
5163,Milk,50.0
5164,Scrambled egg with bean sprouts,30.0
5165,Pigeon soup,50.0
5166,Rice,50.0
5167,Peanut,50.0
5168,Beef,50.0
5169,Stir-ried pork with asparagus,0.0
5170,"
Beer",50.0
5171,Kelp soup,50.0
5172,Buckwheat bread,50.0
5173,Apple,50.0
5174,Buckwheat bread,50.0
5175,Egg,30.0
5176,Milk,50.0
5177,Shredded pork and celery,0.0
5178,Tomato and tofu,50.0
5179,Rice,50.0
5180,Dried tofu and celery,50.0
5181,Tomato and fish ball,50.0
5182,Salted duck egg,30.0
5183,Rice,50.0
5184,Steamed bun,50.0
5185,Milk,50.0
5186,Jellyfish,50.0
5187,Braised pork in brown sauce,0.0
5188,Tofu soup,50.0
5189,Rice,50.0
5190,Dried shrimps with white gourd,50.0
5191,Steak,50.0
5192,Beer,50.0
5193,Rice dumpling,50.0
5194,Avocado,50.0
5195,Milk,50.0
5196,Lettuce,50.0
5197,Fried pork with potato,0.0
5198,Amaranth,50.0
5199,Asparagus,50.0
5200,Beer,50.0
5201,Cauliflower,17.5
5202,Rice dumpling,50.0
5203,Egg,30.0
5204,Avocados,50.0
5205,Milk,50.0
5206,White gourd,50.0
5207,Bean sprout,50.0
5208,Fish,50.0
5209,Milk,50.0
5210,Beer,50.0
5211,Rice,50.0
5212,Potato and onion,50.0
5213,Braised big pork meatball,0.0
5214,Peanut,50.0
5215,Bamboo shoot soup,50.0
5216,Beer,50.0
5217,Rice,50.0
5218,Buckwheat bread,50.0
5219,Egg,30.0
5220,Milk,50.0
5221,Meatball,50.0
5222,Rice,50.0
5223,Lettuce,50.0
5224,Preserved egg,30.0
5225,Beer,50.0
5226,Beef brisket,50.0
5227,Rice,50.0
5228,Cabbage,50.0
5229,Meatball,50.0
5230,Beer,50.0
5231,Buckwheat bread,50.0
5232,Egg,30.0
5233,Milk,50.0
5234,Sausage,50.0
5235,Beer,50.0
5236,Mung bean sprout,50.0
5237,Rice,50.0
5238,Wax gourd,50.0
5239,Braised shrimp,50.0
5240,Braised pork with potato,0.0
5241,Boiled shrimp,50.0
5242,Pigeon soup,50.0
5243,Fish,50.0
5244,Beer,50.0
5245,Buckwheat bread,50.0
5246,Sausage,50.0
5247,Egg,30.0
5248,Milk,50.0
5249,Lettuce,50.0
5250,Peanut,50.0
5251,Bamboo shoot soup,50.0
5252,Beer,50.0
5253,Wonton,72.5
5254,Sausage,50.0
5255,Peanut,50.0
5256,Braised pork with potato,0.0
5257,Beer,50.0
5258,Buckwheat bread,50.0
5259,Egg,30.0
5260,Milk,50.0
5261,Tomato and bamboo shoot soup,50.0
5262,Rice,50.0
5263,Scrambled egg with cucumber,30.0
5264,Beer,50.0
5265,Pig feet,50.0
5266,Amaranth,50.0
5267,Peanut,50.0
5268,Steamed bun,50.0
5269,Beer,50.0
5270,Buckwheat bread,50.0
5271,Egg,30.0
5272,Milk,50.0
5273,Pickled cabbage soup,50.0
5274,Salted fish,50.0
5275,Potato and green pepper,50.0
5276,Rice,50.0
5277,Boiled shrimp,50.0
5278,Braised pork with potato,0.0
5279,Apple,50.0
5280,Lettuce,50.0
5281,Rice,50.0
5282,Buckwheat bread,50.0
5283,Egg,30.0
5284,Milk,50.0
5285,Shrimp,50.0
5286,Fish,50.0
5287,Bean sprouts,50.0
5288,Rice,50.0
5289,Beef,50.0
5290,Fish,50.0
5291,Sausage,50.0
5292,Steamed bun,50.0
5293,Beer,50.0
5294,Rice,50.0
5295,Vegetable,50.0
5296,Chicken,50.0
5297,Pumpkin,50.0
5298,Steamed twisted roll,50.0
5299,Tofu pudding,50.0
5300,Vegetable,50.0
5301,Peanut,50.0
5302,Rice,50.0
5303,Duck gizzard,50.0
5304,Eggplant,30.0
5305,Rice,50.0
5306,Pomfret,50.0
5307,Broccoli,50.0
5308,Lettuce,50.0
5309,Beef jerky,50.0
5310,Bread,50.0
5311,Steamed pork dumplings,0.0
5312,Beef and rice noodles,50.0
5313,Crispy chicken,50.0
5314,Rice,50.0
5315,"Vegetable, fish, shrimp and vegetable",50.0
5316,Steamed twisted roll,50.0
5317,Rice,50.0
5318,Green bean,50.0
5319,Fried pork with bitter melon,0.0
5320,Duck,50.0
5321,Steamed twisted roll,50.0
5322,Rice,50.0
5323,Vegetable,50.0
5324,Rice,50.0
5325,Vegetable,50.0
5326,Rice,50.0
5327,Vegetable,50.0
5328,Rice,50.0
5329,Vegetable,50.0
5330,Bread,50.0
5331,Towel gourd and egg soup,30.0
5332,Minced meat with eggplant,30.0
5333,Zucchini,50.0
5334,Rice,50.0
5335,Braised pork in brown sauce,0.0
5336,Steamed small meat dumpling in basket,50.0
5337,Rice,50.0
5338,"Beef, fish and green bean",50.0
5339,Steamed twisted roll,50.0
5340,Rice,50.0
5341,Fish,50.0
5342,Vegetable,50.0
5343,Vermicelli,50.0
5344,Rice,50.0
5345,Duck,50.0
5346,Fish,50.0
5347,Vegetable,50.0
5348,Steamed bun,50.0
5349,Deep-fried dough stick,50.0
5350,Egg,30.0
5351,Steamed bun,50.0
5352,Watermelon,50.0
5353,Milk,50.0
5354,Egg,30.0
5355,Steamed bun,50.0
5356,Rice,50.0
5357,"Long bean, vegetable, pork and Chicken wing",0.0
5358,Noodles,50.0
5359,Vegetable,50.0
5360,Meat,50.0
5361,Milk,50.0
5362,Egg,30.0
5363,Corn,50.0
5364,Vegetable,50.0
5365,Pork,0.0
5366,Sheet jelly,50.0
5367,Rice,50.0
5368,Fish,50.0
5369,Vermicelli,50.0
5370,Milk,50.0
5371,Egg,30.0
5372,Steamed bun,50.0
5373,Vegetable,50.0
5374,Rice,50.0
5375,Steamed bun,50.0
5376,Vegetable,50.0
5377,Fish,50.0
5378,Sweet potato,50.0
5379,Broad bean,50.0
5380,Milk,50.0
5381,Sweet potato,50.0
5382,Vegetable,50.0
5383,Corn,50.0
5384,Milk,50.0
5385,Egg,30.0
5386,Steamed bun,50.0
5387,Rice,50.0
5388,Vegetable,50.0
5389,Broad bean,50.0
5390,Tofu pudding,50.0
5391,Pancake,50.0
5392,Milk,50.0
5393,Steamed bun,50.0
5394,Egg,30.0
5395,"Vermicelli ,vegetable and meatball",50.0
5396,Biscuit,50.0
5397,Rice,50.0
5398,Vegetable,50.0
5399,Meat dishes,50.0
5400,Milk,50.0
5401,Steamed bun,50.0
5402,Duck egg,30.0
5403,Rice,50.0
5404,Vegetable,50.0
5405,Meat,50.0
5406,Tofu pudding,50.0
5407,Egg,30.0
5408,Cake,50.0
5409,Steamed bun,50.0
5410,Egg,30.0
5411,Milk,50.0
5412,Rice,50.0
5413,Vegetable,50.0
5414,Fish,50.0
5415,Egg,30.0
5416,Steamed bread,50.0
5417,Milk,50.0
5418,Vegetable,50.0
5419,Beer,50.0
5420,Fish,50.0
5421,Mutton,50.0
5422,Shrimp,50.0
5423,"
Sheet jelly",50.0
5424,"
Cabbage,lettuce, cilantro, needle mushroom and spinach",12.5
5425,Noodles,50.0
5426,"
Cabbage, lettuce, coriander, needle mushroom and spinach",12.5
5427,Peanut,50.0
5428,Chicken,50.0
5429,Sour bamboo shoots,50.0
5430,"Cabbage, lettuce, coriander, needle mushroom and spinach",12.5
5431,Peanuts,50.0
5432,Chicken,50.0
5433,Sour bamboo shoots,50.0
5434,Vegetable,50.0
5435,Fried chicken legs,50.0
5436,Tomato,50.0
5437,Cucumber,50.0
5438,Sandwich,50.0
5439,Milk,50.0
5440,Chicken and coriander,50.0
5441,"
Clams",50.0
5442,Shrimp,50.0
5443,Cauliflower,17.5
5444,Fried meat with cowpea,50.0
5445,Egg,30.0
5446,Shrimp,50.0
5447,Fried pork slices with cauliflower,8.75
5448,Fried meat with cowpea,50.0
5449,Shrimp,50.0
5450,Egg,30.0
5451,Cowpea,50.0
5452,Pleurotus Eryngii,50.0
5453,"
Beef and celery beef",50.0
5454,Protein,50.0
5455,Chicken leg,50.0
5456,Pleurotus Eryngii,50.0
5457,Beef and celery,50.0
5458,"
Lettuce",50.0
5459,"
chicken leg",50.0
5460,Pancake,50.0
5461,Lettuce,50.0
5462,Eggs,30.0
5463,Tenderloin,50.0
5464, Chicken gizzard,50.0
5465, Beef,50.0
5466, Scamble egg with tomato,30.0
5467, Chicken breast,50.0
5468, Vegetable,50.0
5469,Fried beef with celery,50.0
5470,Shrimp,50.0
5471,Water spinach,50.0
5472,"
Mutton",50.0
5473,"
Smoked tofu",50.0
